Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,Sample_type,SRA Study,HOST,create_date,version,Isolate,Strain,Investigation_type,Isolation_source
SRR6317715,WGS,252,3447872568,PRJNA419548,SAMN08057792,"Microbe\, viral or environmental",1879645830,UNIVERSITY OF NEUCHATEL,2005,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX3417601,Switzerland,Europe,Switzerland,Illumina HiSeq 2000,D3_1_2,PAIRED,RANDOM,GENOMIC,Rhynchosporium agropyri,ILLUMINA,2018-12-02T00:00:00Z,D3_1_2,Whole organism,SRP125506,Elymus repens,2017-11-22T19:47:00Z,1,,D3_1_2,,
SRR6317716,WGS,252,3280749948,PRJNA419548,SAMN08057791,"Microbe\, viral or environmental",1775385704,UNIVERSITY OF NEUCHATEL,2003,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3417600,Russia,Europe,Russia,Illumina HiSeq 2000,RUB10.1,PAIRED,RANDOM,GENOMIC,Rhynchosporium secalis,ILLUMINA,2018-12-02T00:00:00Z,RUB10.1,Whole organism,SRP125506,Rye,2017-11-22T19:48:00Z,1,,RUB10.1,,
SRR6317717,WGS,252,2929861368,PRJNA419548,SAMN08057790,"Microbe\, viral or environmental",1576989589,UNIVERSITY OF NEUCHATEL,2003,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX3417599,France,Europe,France,Illumina HiSeq 2000,FRA57,PAIRED,RANDOM,GENOMIC,Rhynchosporium secalis,ILLUMINA,2018-12-02T00:00:00Z,FRA57,Whole organism,SRP125506,Triticale,2017-11-22T19:48:00Z,1,,FRA57,,
SRR6317718,WGS,252,3812262804,PRJNA419548,SAMN08057789,"Microbe\, viral or environmental",2056183555,UNIVERSITY OF NEUCHATEL,2003,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX3417598,Russia,Europe,Russia,Illumina HiSeq 2000,RUB2_3,PAIRED,RANDOM,GENOMIC,Rhynchosporium secalis,ILLUMINA,2018-12-02T00:00:00Z,RUB2_3,Whole organism,SRP125506,Rye,2017-11-22T19:56:00Z,1,,RUB2_3,,
SRR6317719,WGS,252,3511668888,PRJNA419548,SAMN08057796,"Microbe\, viral or environmental",1883931603,UNIVERSITY OF NEUCHATEL,2005,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX3417597,Switzerland,Europe,Switzerland,Illumina HiSeq 2000,Daen1_1_2,PAIRED,RANDOM,GENOMIC,Rhynchosporium agropyri,ILLUMINA,2018-12-02T00:00:00Z,Daen1_1_2,Whole organism,SRP125506,Elymus repens,2017-11-22T19:49:00Z,1,,Daen1_1_2,,
SRR6317720,WGS,252,3074396724,PRJNA419548,SAMN08057795,"Microbe\, viral or environmental",1713744221,UNIVERSITY OF NEUCHATEL,2005,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX3417596,Switzerland,Europe,Switzerland,Illumina HiSeq 2000,S1b5_2_2,PAIRED,RANDOM,GENOMIC,Rhynchosporium agropyri,ILLUMINA,2018-12-02T00:00:00Z,S1b5_2_2,Whole organism,SRP125506,Elymus repens,2017-11-22T19:48:00Z,1,,S1b5_2_2,,
SRR6317721,WGS,252,4130576352,PRJNA419548,SAMN08057794,"Microbe\, viral or environmental",2250135454,UNIVERSITY OF NEUCHATEL,2005,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX3417595,Switzerland,Europe,Switzerland,Illumina HiSeq 2000,D4_4,PAIRED,RANDOM,GENOMIC,Rhynchosporium agropyri,ILLUMINA,2018-12-02T00:00:00Z,D4_4,Whole organism,SRP125506,Elymus repens,2017-11-22T19:50:00Z,1,,D4_4,,
SRR6317722,WGS,252,3900408372,PRJNA419548,SAMN08057793,"Microbe\, viral or environmental",2126961052,UNIVERSITY OF NEUCHATEL,2005,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX3417594,Switzerland,Europe,Switzerland,Illumina HiSeq 2000,D7_2,PAIRED,RANDOM,GENOMIC,Rhynchosporium agropyri,ILLUMINA,2018-12-02T00:00:00Z,D7_2,Whole organism,SRP125506,Elymus repens,2017-11-22T19:50:00Z,1,,D7_2,,
SRR6317723,WGS,252,3380794200,PRJNA419548,SAMN08057798,"Microbe\, viral or environmental",1830550845,UNIVERSITY OF NEUCHATEL,2004,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3417593,Switzerland,Europe,Switzerland,Illumina HiSeq 2000,W1_3A1.1,PAIRED,RANDOM,GENOMIC,Rhynchosporium agropyri,ILLUMINA,2018-12-02T00:00:00Z,W1_3A1.1,Whole organism,SRP125506,Elymus repens,2017-11-22T19:58:00Z,1,,W1_3A1.1,,
SRR6317724,WGS,252,4114586952,PRJNA419548,SAMN08057797,"Microbe\, viral or environmental",2248863538,UNIVERSITY OF NEUCHATEL,2004,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3417592,Switzerland,Europe,Switzerland,Illumina HiSeq 2000,K4_5A1,PAIRED,RANDOM,GENOMIC,Rhynchosporium agropyri,ILLUMINA,2018-12-02T00:00:00Z,K4_5A1,Whole organism,SRP125506,Elymus repens,2017-11-22T19:52:00Z,1,,K4_5A1,,
